Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Property Type Order,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
03 - New Single Family Residential,2020-MSS-RES-00721,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ VB/ R3,CONSTRUCTIVE INNOVATION LLC,,67043.3,,158722.04,3223 S GRANT ST,SFR-DET,67043.3,91678.74,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2020-MSS-RES-01005,,BNSFR - New Single Family Residence,TED,NSFR/ATT GARAGE/ VB/ R3,SS PROPERTY SOLUTIONS INC,,105091.6,,248608.11,385 TRAIL BLAZER LOOP,TED SF,105091.6,143516.50999999998,TED Single Dwelling,New Construction,6.0,1,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00289,BNMRB - New Multifamily 5+ Units,,18,NEW 18-PLEX/BLDG 24/VB/R-2,TOLLEFSON CONSTRUCTION,,793144.2,,1951875.6,5215 REMINGTON DR,MFR-APT,793144.2,1158731.4000000001,Multi-Dwelling Apartment,New Construction,99.0,18,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00290,BNMRB - New Multifamily 5+ Units,,18,NEW 18-PLEX/BLDG 25/VB/R-2,TOLLEFSON CONSTRUCTION,,793144.2,,1951875.6,2630 BRIAR WAY,MFR-APT,793144.2,1158731.4000000001,Multi-Dwelling Apartment,New Construction,99.0,18,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00291,BNMRB - New Multifamily 5+ Units,,24,NEW 24-PLEX/BLDG 26/VB/R-2,TOLLEFSON CONSTRUCTION,,1128684.06,,2777617.08,5175 ABBY LN,MFR-APT,1128684.06,1648933.02,Multi-Dwelling Apartment,New Construction,99.0,24,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00292,BNMRB - New Multifamily 5+ Units,,24,NEW 24-PLEX/BLDG 27/VB/R-2,TOLLEFSON CONSTRUCTION,,1128684.06,,2777617.08,5135 ABBY LN,MFR-APT,1128684.06,1648933.02,Multi-Dwelling Apartment,New Construction,99.0,24,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2021-MSS-COM-00406,BAARC -  Add/Alter/Remodel Commercial,,,"MSO AIRPORT/SP INSP REQD / Complete existing building demolition and subsequent construction of new addition to phase 1 construction; work to include additional mechanical space, baggage claim area, rental car facilities, expanded holdroom seating, and additional aircraft loading gates/IIA/A-3/A-2/S-1",MARTEL CONSTRUCTION INC,36184548.0,0.0,,,5225 10 HWY W,,36184548.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2021-MSS-RES-00521,,BAARR -  Add/Alter/Remodel Residential,,"SFR/Convert an existing, free standing two car garage of approx 450 Sq feet into a 1 BR ADU/VB/R-3",TLC CONSTRUCTION,,24689.95,,58122.83,1923 DIXON AVE,ADU,24689.95,33432.880000000005,ADU,New Construction,99.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
06 - New Miscellaneous,2021-MSS-RES-00674,,BNRDG - New Detached Garage/Carport,,NEW DET GARAGE/Demolish existing detached garage and build new 39'x24' detached garage across back of lot./ VB/ U,OWNER,,14322.0,,35683.2,320 DEARBORN AVE,,14322.0,21361.199999999997,"Misc. (Garage, Shed, etc.)",New Construction,9.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2021-MSS-RES-00676,,BAARR -  Add/Alter/Remodel Residential,,"SFR/ remodel and addition of a single family residence: the project includes a 50 s.f. addition on the first floor, and removing the existing roof and adding a second story and new roof. The project includes a renovated kitchen, new mud room, an additional bathroom on the first floor and 3 new bedrooms and 2 new baths on the second floor./ VB/ R3",OWNER,,36636.7,,86246.78,115 E FRANKLIN ST,,36636.7,49610.08,Residential,Addition/Remodel,15.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2021-MSS-RES-00791,,BNSFR - New Single Family Residence,,NSFR/ATTACHED GARAGE/ VB/ R3,SS PROPERTY SOLUTIONS INC,,86199.0,,203526.18,926 TURNER ST,SFR-DET,86199.0,117327.18,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2021-MSS-RES-00792,,BNSFR - New Single Family Residence,,NSFR/ALLEY HOUSE/ GARAGE/ VB/ R3,SS PROPERTY SOLUTIONS INC,,86199.0,,203526.18,928 TURNER ST,SFR-DET,86199.0,117327.18,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2021-MSS-RES-01010,,BNSFT - New Single Family Townhouse,,NSFR/ ATT GARAGE/VB/R-3,MOSTAD CONSTRUCTION INC,,95055.25,,248170.61,2389 38TH ST,SFR-DET,95055.25,153115.36,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00032,BAARC -  Add/Alter/Remodel Commercial,,,COMM BLDG/Change of Use: B to M designation/VB/M,OWNER,1.0,0.0,,,1520 RUSSELL ST,,1.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00064,BAARC -  Add/Alter/Remodel Commercial,,,COMM BLDG FACADE/Exterior only facade renovation/VB/B,PEW CORPORATION,132650.0,0.0,,,1901 S HIGGINS AVE,,132650.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00069,BAARC -  Add/Alter/Remodel Commercial,,,MISSOULA COUNTY FAIRGROUNDS FAIR WAY ENTRANCE/Remove and replace existing Fair Way entrance at the Missoula County Fairgrounds with new entrance/VB/U,JACKSON CONTRACTOR GROUP INC,60000.0,0.0,,,1101 SOUTH AVE W,,60000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00072,BAARC -  Add/Alter/Remodel Commercial,,,ACE HARDWARE/Remodel existing spaces within Eastgate Shopping Center to Expand the ACE Hardware store. Remodel Facade of building to match East side. Add Bulbout in front of building for product placement./VB/M,PRICE CONSTRUCTION LLC,625000.0,0.0,,,905 E BROADWAY,,625000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00091,BCRRS -  Reroof/Reside Commercial,,,"28-PLEX / Remove existing roofing material / install wood nailer on perimeter to meet insulation / install two layers 2.6"" polyiso rigid insulation / install 1/4"" Densdeck / install 60 mil tpo membrane / gravel stop metal and pressure sensitive cover tape on perimeter / remove debris / INSTALL PER IBC AND LISTING / 0.25:12 / VB / R-2",MILLER ROOFING INC,127980.0,0.0,,,130 W KENT AVE,,127980.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00106,BNCON -  New Other,,,CHEAP CHARLEYS MINI STORAGE BLDG W/NEW MINI STORAGE/IIB/S-1,CARL CONSTRUCTION INC,,315840.0,1887802.0,,6400 KESTREL CT,,315840.0,1571962.0,Business,New Construction,11.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00107,BNCON -  New Other,,,CHEAP CHARLEYS MINI STORAGE BLDG T/NEW MINI STORAGE/IIB/S-1,CARL CONSTRUCTION INC,,102528.0,602619.0,,6400 KESTREL CT,,102528.0,500091.0,Business,New Construction,11.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00108,BNCON -  New Other,,,CHEAP CHARLEYS MINI STORAGE BLDG V/NEW MINI STORAGE/IIB/S-1,CARL CONSTRUCTION INC,,119040.0,699670.0,,6400 KESTREL CT,,119040.0,580630.0,Business,New Construction,11.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00117,BAARC -  Add/Alter/Remodel Commercial,,,"IMAGING CENTER OF MONTANA/NEW TI/CHANGE OF USE/ VB / B
Change of use from bank to MRI Medical Office
Renovate existing building
Enclose what used to be the bank drive-through.
No site work (except under existing bank canopy, if you count under-roof space)",DALTON CONSTRUCTION,250000.0,0.0,,,1510 RESERVE ST,,250000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
08 - New Business,2022-MSS-COM-00130,BNCNB -  New Other Than Building,,,WWTP SOLAR SYSTEM/Installation of 545.1 kW ground mounted solar PV system/VB/U,ONSITE ENERGY INC,939578.0,0.0,,,1100 CLARK FORK DR,,939578.0,0.0,Business,New Construction,11.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00133,BAARC -  Add/Alter/Remodel Commercial,,,"DCI ENGINEERS/Tenant finish of existing space at main level/IIIB/B.  The 1,810-SF space will be incorporated in to the business activities of DCI Engineers (currently located at 131 W. Main).  The scope of work includes replacing existing incandescent ceiling light fixtures with energy efficient LED fixtures with emergency backup lighting option.  Move electrical fixtures for proper new locations as noted on the remodel plan.  Install a new front entry door that swings outward to provide a safer and compliant egress.  Install an new 5-ft wide egress opening between 135 W. Main and 131 W. Main to provide safe egress for staff that will be using both building spaces.  Trim and walls will be painted.  Flooring will be repaired as needed in damaged areas.  No plumbing work in scope.  Affidavits by both landlords (131 and 135 W. Main) are included allowing tenant (DCI Engineers) to provide egress opening between buildings.  Unprotected egress opening is allowed per exception 706.1.1 of the IBC.  Per section 506.2.3, allowable area is 18,540 SF, while the actual combined area of both buildings is 15,668 SF.",DICK ANDERSON CONSTRUCTION,20000.0,0.0,,,135 W MAIN ST,,20000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00134,BAARC -  Add/Alter/Remodel Commercial,,,CLOUD LLC/INTERIOR REMODEL/IIB/F-1/S-1/M,J E M HOME IMPROVEMENT AND CUSTOM CARPENTARY,17923.18,0.0,,,2604 W BROADWAY,,17923.18,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00139,BCRRS -  Reroof/Reside Commercial,,,EXPRESSWAY BLDG B / Remove existing roofing to bare decking / install new edge metal / install new underlayment including ice & water barrier on all eaves and valleys / and synthetic paper elsewhere / install new limited lifetime architectural shingles / install new pipe boots / install new ridge vent and cap / INSTALL PER IBC AND LISTING / 6:12 / VB / R-2,DERRICK G SMITH ROOFING LLC,53360.0,0.0,,,4206 EXPRESSWAY,,53360.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00141,BCRRS -  Reroof/Reside Commercial,,,COMMERCIAL / Remove existing roofing to bare decking / install new edge metal / install new underlayment including ice & water barrier on all eaves and valleys / and synthetic paper elsewhere / install new limited lifetime architectural shingles / install new pipe boots / install new ridge vent and cap / INSTALL PER IBC AND LISTING / 6:12 / VB / R-2,DERRICK G SMITH ROOFING LLC,63450.0,0.0,,,4332 EXPRESSWAY,,63450.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00175,BCRRS -  Reroof/Reside Commercial,,,"APT BLDG / Remove & Replace 30# Felt / replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IBC AND LISTING / 9:12 / VB / R-2",RHINO ROOFING,16000.0,0.0,,,1811 A/B/C/D  COOLEY ST,,16000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00181,BAARC -  Add/Alter/Remodel Commercial,,,"COMM BLDG/Replace water damaged insulation, drywall, paint, ceiling tile,flooring.",DAYSPRING RESTORATION INC,28125.0,0.0,,,4500 EXPRESSWAY,,28125.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00184,BCRRS -  Reroof/Reside Commercial,,,"COM BLDG / replace roof / INSTALL ICE AND WATER SHIELD / INSTALL PER IBC AND LISTING / 2:12 / VB / R-2

DOUBLE UNDERLAYMENT IS REQUIRED FOR ASPHALT SHINGLES INSTALLED ON ROOFS WITH SLOPES LESS THAN 4:12.",RATTLESNAKE CONSTRUCTION & INVESTMENTS LLC,25000.0,0.0,,,1500 RUSSELL ST,,25000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2022-MSS-COM-00186,BCRRS -  Reroof/Reside Commercial,,,"8 UNIT CONDO / Remove & Replace 30# Felt / replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IBC AND LISTING / 6:12 / VB / R-2",RHINO ROOFING,50000.0,0.0,,,5100 1 VILLAGE VIEW WAY,,50000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2022-07-01,July,07,2022,2023
