Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
08 - New Business,2020-MSS-COM-00040,BNCNB -  New Other Than Building,,,FELTON DENTAL/NEW GROUND SIGN/Approximately 20' high with a 3' X 8' foundation./IIB/U,WESTERN NEON INC,15000.0,0.0,,,1750-A BROOKS ST,,15000.0,0.0,Business,New Construction,0,09 Data Dump,2021-09-01,September,09,2021,2022
04 - New Duplex,2020-MSS-RES-00486,,BNRDX - New Duplex,,NEW DUPLEX/ATT GARAGE/ VB/ R2,SILVERFERN,,116261.6,,274629.44,809-A HOWELL ST,SFR-ATT,116261.6,158367.84,Duplex,New Construction,2,09 Data Dump,2021-09-01,September,09,2021,2022
02 - Remodel Residential,2020-MSS-RES-00576,,BAARR -  Add/Alter/Remodel Residential,,SFR/Set new trusses,OWNER,17000.0,0.0,,,721 S 03RD ST W,,17000.0,0.0,Residential,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00015,BAARC -  Add/Alter/Remodel Commercial,,,"SUITE 150/Tenant improvement of former tenant space into office space.
Building envelope modifications limited to door replacement.
Mechanical, electrical, fire sprinkler design-build by contractor./VB/B",STRAIGHTEDGE CONSTRUCTION LLC,250000.0,0.0,,,308 W PINE ST  STE 150,,250000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
01 - Remodel Commercial,2021-MSS-COM-00107,BAARC -  Add/Alter/Remodel Commercial,,,COMM BLDG/Remodel 372 square feet of existing warehouse space into new conference room and add new storefront windows. Replace existing entry door and sidelights. replace (1) existing overhead door. Add (4) new windows to second floor. Replace existing metal siding with new on (2) elevations. Add 2 new interior doors. Replace (2) existing exterior light fixtures./VB/B,EDGELL BUILDING AND DEVELOPMENT INC,200000.0,0.0,,,3102 W BROADWAY,,200000.0,0.0,Commercial,Addition/Remodel,0,09 Data Dump,2021-09-01,September,09,2021,2022
05 - New MultiFamily,2021-MSS-COM-00108,BNMRB - New Multifamily 5+ Units,,,MCNETT FLATS BLDG 3/NEW 18 UNIT APT BLDG/ VB/ R2,TOLLEFSON CONSTRUCTION,,846891.06,,2084143.08,2775 OLD RANCH RD,MFR-APT,846891.06,1237252.02,Multi-Dwelling Apartment,New Construction,18,09 Data Dump,2021-09-01,September,09,2021,2022
05 - New MultiFamily,2021-MSS-COM-00116,BNMRB - New Multifamily 5+ Units,,,MCNETT FLATS BLDG #4/NEW 15 UNIT APT BLDG/ VB/ R2,TOLLEFSON CONSTRUCTION,,698021.88,,1717785.84,2750 GEORGE ELMER DR,MFR-APT,698021.88,1019763.9600000001,Multi-Dwelling Apartment,New Construction,15,09 Data Dump,2021-09-01,September,09,2021,2022
05 - New MultiFamily,2021-MSS-COM-00138,BNMRB - New Multifamily 5+ Units,,,MCNETT FLATS BLDG 5 LOT 2/ NEW -24 units (3 floors of 8 units each)/ VB/ R2,TOLLEFSON CONSTRUCTION,,1128684.06,,2777617.08,5020 ABBY LN,MFR-APT,1128684.06,1648933.02,Multi-Dwelling Apartment,New Construction,24,09 Data Dump,2021-09-01,September,09,2021,2022
05 - New MultiFamily,2021-MSS-COM-00154,BNMRB - New Multifamily 5+ Units,,,MCNETT FLATS BLDG 6 LOT 2/NEW 24 units (3 floors of 8 units each)/ VB/ R2,TOLLEFSON CONSTRUCTION,,1128684.06,,2777617.08,5080 ABBY LN,MFR-APT,1128684.06,1648933.02,Multi-Dwelling Apartment,New Construction,24,09 Data Dump,2021-09-01,September,09,2021,2022
08 - New Business,2021-MSS-COM-00202,BNCNB -  New Other Than Building,,,PEACE SIGN/Relocate Historic Peace Sign to back wall of Guild Brewery as proposed in the approved Sign Package by the DRB and Development Services/ VB/ U,DWIGHT THOMAS CARPENTRY,6000.0,0.0,,,519 S HIGGINS AVE,,6000.0,0.0,Business,New Construction,0,09 Data Dump,2021-09-01,September,09,2021,2022
