Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Property Type Order,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
02 - Remodel Residential,2016-MSS-RES-01010,,BAARR -  Add/Alter/Remodel Residential,,test,DICK ANDERSON CONSTRUCTION,,0.0,,,435 RYMAN ST,,0.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2021-MSS-RES-00737,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE/VB/R-3,EDGELL BUILDING AND DEVELOPMENT INC,,80372.25,,248823.82,230-A OLD MILL RD,SFR-ATT,80372.25,168451.57,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2021-MSS-RES-00738,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE/VB/R-3,EDGELL BUILDING AND DEVELOPMENT INC,,80372.25,,248823.82,210-B OLD MILL RD,SFR-ATT,80372.25,168451.57,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2021-MSS-RES-00739,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE/VB/R-3,EDGELL BUILDING AND DEVELOPMENT INC,,80372.25,,248823.82,210-A OLD MILL RD,SFR-ATT,80372.25,168451.57,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2021-MSS-RES-00741,,BNSFT - New Single Family Townhouse,,NEW TOWNHOME/ATT GARAGE/VB/R-3,EDGELL BUILDING AND DEVELOPMENT INC,,80372.25,,248823.82,1170 WYOMING ST,SFR-ATT,80372.25,168451.57,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2022-MSS-COM-00028,BAARC -  Add/Alter/Remodel Commercial,,,"COMM BLDG/Tenant Improvement in 327 addressed suite.  Addition of a  suite.  Renovation of building exterior.  New parking lot.  Raising of roof and tenant improvement in 331 SW Higgins Addressed suite./VB/B
Rev 01 - 05/18/2023: 4/17/23 REVISION / PROVIDE ACCESS EASEMENT BK AND PG 
•         Expanded surface area of garage/storage (grid C-E/1-2) by roughly 550 SF.    
•         Reduced the size of the Brewery, so that all the area west of grid J is no longer F-2 occupancy.
•         Replaced F-2 occupancy with B-2 tenant spaces (tenants 3 & 5). 
•         Added entrance and added covered accessible route to tenant space 5 @ grid E/1.
•         Reworked parking at grid A.5/1-4 and added an accessible parking stall here.
•         Reworked parking along Higgins boulevard, by removing the existing parking lot entrance on the N/E corner of the property.  This change allows us to add a few stalls and increase the landscaped area of the project, including snow storage areas. 
We have included some plumbing stub locations for the future tenants (tenants 3 & 5), additional work to tenant spaces will be addressed in future tenant improvement permits.

4/17/23 REVISION / PROVIDE ACCESS EASEMENT BK AND PG 
•         Expanded surface area of garage/storage (grid C-E/1-2) by roughly 550 SF.    
•         Reduced the size of the Brewery, so that all the area west of grid J is no longer F-2 occupancy.
•         Replaced F-2 occupancy with B-2 tenant spaces (tenants 3 & 5). 
•         Added entrance and added covered accessible route to tenant space 5 @ grid E/1.
•         Reworked parking at grid A.5/1-4 and added an accessible parking stall here.
•         Reworked parking along Higgins boulevard, by removing the existing parking lot entrance on the N/E corner of the property.  This change allows us to add a few stalls and increase the landscaped area of the project, including snow storage areas. 
We have included some plumbing stub locations for the future tenants (tenants 3 & 5), additional work to tenant spaces will be addressed in future tenant improvement permits.",ROCKY MOUNTAIN REMODELS,550000.0,0.0,,,325 SW HIGGINS AVE,,550000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
05 - New MultiFamily,2022-MSS-COM-00193,BNMRB - New Multifamily 5+ Units,,,NEW 16-PLEX/VB/R-2,O AND O BUILDERS LLC,,775824.24,,2354513.12,675 JOHNSON ST,MFR-APT,775824.24,1578688.8800000001,Multi-Dwelling Apartment,New Construction,99.0,16,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2022-MSS-COM-00284,BAARC -  Add/Alter/Remodel Commercial,,,DISPENSARY / CULTIVATION / EXTRACTION / INFUSED PRODUCT / CANOPY: 1000SF,OWNER,,,,,725-E RONAN ST,,0.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2022-MSS-RES-00381,,BNSFT - New Single Family Townhouse,,NEW TOWNHOUSE/ATT GARAGE/VB/R-3/U,HOYT HOMES INC,,91167.75,,296552.96,5377-A REMINGTON DR,SFR-ATT,91167.75,205385.21000000002,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2022-MSS-RES-00382,,BNSFT - New Single Family Townhouse,,NEW TOWNHOUSE/ATT GARAGE/VB/R-3/U,HOYT HOMES INC,,96911.3,,314984.66,5377-B REMINGTON DR,SFR-ATT,96911.3,218073.36,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2022-MSS-RES-00383,,BNSFT - New Single Family Townhouse,,NEW TOWNHOUSE/ATT GARAGE/VB/R-3/U,HOYT HOMES INC,,91589.7,,298033.29,5377-C REMINGTON DR,SFR-ATT,91589.7,206443.58999999997,Single Dwelling Attached,New Construction,1.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2022-MSS-RES-00822,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/ADDITION/REMODEL/VB/R-3,AYERS CONSTRUCTION,175000.0,0.0,,,505 PLYMOUTH ST,,175000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00008,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/SUITE 204/NEW TI/VB/B,SIRIUS CONSTRUCTION INC,390000.0,0.0,,,111 N HIGGINS AVE   STE 204,,390000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00017,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/APOTHEM LLC/Interior remodel of existing structure. New glazing and facade. New awning facing road./VB/M,OWNER,599673.0,0.0,,,1700 S 03RD ST W,,599673.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00022,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/LOGE CAMPS CAFE/REMODEL/VB/A-2,"EVCO DEVELOPMENT, INC",1500000.0,0.0,,,450 W BROADWAY,,1500000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00023,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/LOGE CAMPS HOTEL/REMODEL/VB/R-1/S-2/B

/ NO PERMIT FOR WORK IN MDT RIGHT OF WAY WILL BE ISSUED BY THE CITY OF MISSOULA PRIOR TO CONTRACTOR SUBMITTING PROOF OF MDT PERMIT /

/ ALL UTILITIES MUST BE LOCATED PRIOR TO EXCAVATION TAKING PLACE / LOCATE NUMBER MUST BE PROVIDED TO PERMIT COORDINATORS PRIOR TO PERMIT ISSUANCE /","EVCO DEVELOPMENT, INC",2000000.0,0.0,,,420 W BROADWAY,,2000000.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00031,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UM CLAPP BLDG/Upgrades to the existing Hydraulic Elevator in the Clapp Building.  Upgrades include Jack replacement, equipment upgrades, and upgrades per IBC requirements./VB/E",CS STRUCTURES,544444.0,0.0,,,845 KEITH AVE,,544444.0,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
08 - New Business,2023-MSS-COM-00064,BNCON -  New Other,,,2021 CODES/YMCA CHILD DEVELOPMENT CENTER/NEW BLDG/VB/E/B,QUALITY CONSTRUCTION COMPANY,,370705.92,1462367.4,,2950 RUSSELL ST,,370705.92,1091661.48,Business,New Construction,11.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00093,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/TACO BELL/REMODEL/VB/A-2,DICK ANDERSON CONSTRUCTION,962692.6,0.0,,,2320 N RESERVE ST,,962692.6,0.0,Commercial,Addition/Remodel,16.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
